Simulation,Method,Area,Time
33,Random Sampling,1.5266339999999998,1.2558109760284424
33,Antithetic Random Sampling,1.520928,0.23223614692687988
33,LHS,1.522332,1.2752470970153809
33,Antithetic Latin Sampling,1.524276,1.2581391334533691
33,Orthogonal Sampling,1.521999,0.4963960647583008
33,Antithetic Orthogonal Sampling,1.5221256819559508,0.21157026290893555
34,Random Sampling,1.522908,1.2573421001434326
34,Antithetic Random Sampling,1.5247260000000002,0.23478484153747559
34,LHS,1.5212520000000003,1.2681469917297363
34,Antithetic Latin Sampling,1.517886,1.2651300430297852
34,Orthogonal Sampling,1.522053,0.49898290634155273
34,Antithetic Orthogonal Sampling,1.5215855188266856,0.2097489833831787
35,Random Sampling,1.5205409999999997,1.2518069744110107
35,Antithetic Random Sampling,1.518894,0.23586702346801758
35,LHS,1.518858,1.2883799076080322
35,Antithetic Latin Sampling,1.5160679999999997,1.26625394821167
35,Orthogonal Sampling,1.5216660000000002,0.5124430656433105
35,Antithetic Orthogonal Sampling,1.5214594807631905,0.21095609664916992
36,Random Sampling,1.5182819999999997,1.2619731426239014
36,Antithetic Random Sampling,1.5330959999999998,0.23624491691589355
36,LHS,1.5204149999999998,1.292593002319336
36,Antithetic Latin Sampling,1.5221339999999999,1.2632009983062744
36,Orthogonal Sampling,1.5215940000000001,0.4975869655609131
36,Antithetic Orthogonal Sampling,1.5212614209491266,0.21031975746154785
37,Random Sampling,1.526706,1.2616777420043945
37,Antithetic Random Sampling,1.525356,0.2357497215270996
37,LHS,1.521846,1.2990009784698486
37,Antithetic Latin Sampling,1.52217,1.2632412910461426
37,Orthogonal Sampling,1.52145,0.5062921047210693
37,Antithetic Orthogonal Sampling,1.5221076765183086,0.21045613288879395
38,Random Sampling,1.516761,1.2502398490905762
38,Antithetic Random Sampling,1.5239340000000001,0.23362302780151367
38,LHS,1.522494,1.2891991138458252
38,Antithetic Latin Sampling,1.519632,1.2548551559448242
38,Orthogonal Sampling,1.522386,0.4950079917907715
38,Antithetic Orthogonal Sampling,1.5217655732031075,0.20795893669128418
39,Random Sampling,1.5237,1.2450881004333496
39,Antithetic Random Sampling,1.517904,0.23192286491394043
39,LHS,1.523142,1.2853410243988037
39,Antithetic Latin Sampling,1.5206579999999998,1.2553846836090088
39,Orthogonal Sampling,1.521639,0.4906480312347412
39,Antithetic Orthogonal Sampling,1.522503796146436,0.21162080764770508
40,Random Sampling,1.523394,1.2524220943450928
40,Antithetic Random Sampling,1.529028,0.23609113693237305
40,LHS,1.5273089999999998,1.2976880073547363
40,Antithetic Latin Sampling,1.5231599999999998,1.252100944519043
40,Orthogonal Sampling,1.5217019999999999,0.49291205406188965
40,Antithetic Orthogonal Sampling,1.5219276221418867,0.2098848819732666
41,Random Sampling,1.522323,1.2454719543457031
41,Antithetic Random Sampling,1.5352200000000003,0.2370140552520752
41,LHS,1.520298,1.2915730476379395
41,Antithetic Latin Sampling,1.5244019999999998,1.2708849906921387
41,Orthogonal Sampling,1.5218639999999999,0.49739503860473633
41,Antithetic Orthogonal Sampling,1.521513497076117,0.20886898040771484
42,Random Sampling,1.523034,1.249290943145752
